"y","mom_id","sf_id","dyad_id"
1,66,19,68
1,65,2,67
0,65,2,67
0,13,3,5
1,40,16,38
0,13,3,5
0,7,5,72
1,16,3,8
0,24,33,19
0,63,1,65
0,57,15,57
1,10,23,2
1,30,16,26
1,23,11,17
1,2,15,13
1,41,9,40
1,25,9,20
0,25,9,20
0,34,1,31
1,25,9,20
0,1,20,1
0,1,20,1
0,1,20,1
1,7,5,72
1,9,5,81
0,17,9,10
0,17,9,10
1,45,28,44
0,17,9,10
1,72,12,75
1,73,43,76
1,41,9,40
0,10,23,2
0,24,27,18
0,36,18,33
1,12,27,4
0,16,6,9
0,13,3,5
1,66,19,68
1,56,31,56
1,56,31,56
1,16,3,8
1,41,9,40
0,16,6,9
1,66,19,68
1,34,1,31
0,49,6,48
1,13,3,5
0,45,28,44
1,16,3,8
0,37,32,34
1,16,3,8
1,2,15,13
0,45,28,44
0,7,5,72
0,8,29,80
0,16,6,9
0,45,28,44
1,4,29,37
1,43,40,42
1,32,6,29
1,51,32,51
1,60,22,61
0,27,1,22
0,26,9,21
1,16,3,8
1,33,13,30
0,33,13,30
0,6,8,60
0,6,8,60
0,6,8,60
0,6,8,60
1,5,25,49
1,10,23,2
0,10,23,2
0,10,23,2
0,10,23,2
0,10,23,2
0,53,23,53
0,11,23,3
0,11,23,3
0,56,31,56
0,17,9,10
0,17,9,10
0,25,9,20
1,26,9,21
1,41,9,40
0,25,9,20
0,55,4,55
0,57,15,57
1,28,26,23
0,28,26,23
1,28,26,23
0,64,37,66
1,32,37,28
0,32,37,28
0,32,37,28
0,13,3,5
0,13,3,5
1,71,32,74
1,71,32,74
1,71,32,74
0,28,26,23
0,37,32,34
1,37,32,34
1,23,11,17
1,22,42,16
1,39,15,36
0,57,15,57
0,57,15,57
1,31,22,27
0,74,34,77
0,21,45,15
1,59,27,59
1,58,34,58
0,3,46,25
1,15,24,7
0,67,33,69
1,18,6,11
0,35,7,32
1,15,24,7
1,2,15,13
1,2,15,13
0,21,45,15
0,14,14,6
1,14,14,6
0,14,14,6
0,14,14,6
1,58,34,58
0,15,24,7
1,48,34,47
1,11,23,3
1,62,39,64
0,64,37,66
1,32,37,28
0,3,46,25
0,19,46,12
0,3,46,25
0,3,46,25
0,29,41,24
1,38,9,35
1,52,21,52
0,55,4,55
0,75,36,78
1,42,35,41
1,61,26,63
0,70,11,73
0,70,11,73
0,70,11,73
1,20,47,14
0,44,40,43
0,44,40,43
0,60,38,62
0,60,38,62
1,58,34,58
1,76,6,79
1,14,14,6
0,39,15,36
0,47,44,46
1,69,47,71
1,40,16,38
1,54,9,54
0,6,8,60
1,5,25,49
1,5,25,49
0,41,17,39
0,41,17,39
1,68,30,70
1,40,16,38
1,65,2,67
0,8,29,80
1,46,10,45
1,46,10,45
1,50,10,50
1,50,10,50
1,50,10,50
1,50,10,50
